--- model size ---
model: 55,192,704
======= start training =======
epoch|batch_idx/num_batches|output_dir|batch/s|lr|time|step
epoch: 204 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.013 | time: 0:08:32.8 | step: 1230
epoch: 206 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.012 | time: 0:08:37.3 | step: 1240
epoch: 208 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.012 | time: 0:08:41.3 | step: 1250
epoch: 209 |   5/  6 | logs/44k/diffusion | batch/s: 2.35 | lr: 0.0001 | loss: 0.041 | time: 0:08:45.3 | step: 1260
epoch: 211 |   3/  6 | logs/44k/diffusion | batch/s: 2.33 | lr: 0.0001 | loss: 0.020 | time: 0:08:49.9 | step: 1270
epoch: 213 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.020 | time: 0:08:53.9 | step: 1280
epoch: 214 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.003 | time: 0:08:57.9 | step: 1290
epoch: 216 |   3/  6 | logs/44k/diffusion | batch/s: 2.40 | lr: 0.0001 | loss: 0.008 | time: 0:09:02.3 | step: 1300
epoch: 218 |   1/  6 | logs/44k/diffusion | batch/s: 2.46 | lr: 0.0001 | loss: 0.028 | time: 0:09:06.3 | step: 1310
epoch: 219 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.100 | time: 0:09:10.3 | step: 1320
epoch: 221 |   3/  6 | logs/44k/diffusion | batch/s: 2.39 | lr: 0.0001 | loss: 0.010 | time: 0:09:14.8 | step: 1330
epoch: 223 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.027 | time: 0:09:18.8 | step: 1340
epoch: 224 |   5/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.010 | time: 0:09:22.8 | step: 1350
epoch: 226 |   3/  6 | logs/44k/diffusion | batch/s: 2.34 | lr: 0.0001 | loss: 0.012 | time: 0:09:27.3 | step: 1360
epoch: 228 |   1/  6 | logs/44k/diffusion | batch/s: 2.44 | lr: 0.0001 | loss: 0.017 | time: 0:09:31.4 | step: 1370
epoch: 229 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.018 | time: 0:09:35.4 | step: 1380
epoch: 231 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.016 | time: 0:09:39.8 | step: 1390
epoch: 233 |   1/  6 | logs/44k/diffusion | batch/s: 2.49 | lr: 0.0001 | loss: 0.023 | time: 0:09:43.8 | step: 1400
epoch: 234 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.005 | time: 0:09:47.8 | step: 1410
epoch: 236 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.020 | time: 0:09:52.3 | step: 1420
epoch: 238 |   1/  6 | logs/44k/diffusion | batch/s: 2.48 | lr: 0.0001 | loss: 0.010 | time: 0:09:56.3 | step: 1430
epoch: 239 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.031 | time: 0:10:00.3 | step: 1440
epoch: 241 |   3/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.010 | time: 0:10:04.8 | step: 1450
epoch: 243 |   1/  6 | logs/44k/diffusion | batch/s: 2.45 | lr: 0.0001 | loss: 0.015 | time: 0:10:08.9 | step: 1460
epoch: 244 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.013 | time: 0:10:12.9 | step: 1470
epoch: 246 |   3/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.014 | time: 0:10:17.3 | step: 1480
epoch: 248 |   1/  6 | logs/44k/diffusion | batch/s: 2.46 | lr: 0.0001 | loss: 0.011 | time: 0:10:21.4 | step: 1490
epoch: 249 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.023 | time: 0:10:25.4 | step: 1500
epoch: 251 |   3/  6 | logs/44k/diffusion | batch/s: 2.35 | lr: 0.0001 | loss: 0.026 | time: 0:10:29.9 | step: 1510
epoch: 253 |   1/  6 | logs/44k/diffusion | batch/s: 2.48 | lr: 0.0001 | loss: 0.017 | time: 0:10:33.9 | step: 1520
epoch: 254 |   5/  6 | logs/44k/diffusion | batch/s: 2.35 | lr: 0.0001 | loss: 0.002 | time: 0:10:37.9 | step: 1530
epoch: 256 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.029 | time: 0:10:42.4 | step: 1540
epoch: 258 |   1/  6 | logs/44k/diffusion | batch/s: 2.46 | lr: 0.0001 | loss: 0.019 | time: 0:10:46.5 | step: 1550
epoch: 259 |   5/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.008 | time: 0:10:50.4 | step: 1560
epoch: 261 |   3/  6 | logs/44k/diffusion | batch/s: 2.39 | lr: 0.0001 | loss: 0.020 | time: 0:10:54.8 | step: 1570
epoch: 263 |   1/  6 | logs/44k/diffusion | batch/s: 2.48 | lr: 0.0001 | loss: 0.024 | time: 0:10:58.9 | step: 1580
epoch: 264 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.008 | time: 0:11:02.8 | step: 1590
epoch: 266 |   3/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.020 | time: 0:11:07.3 | step: 1600
epoch: 268 |   1/  6 | logs/44k/diffusion | batch/s: 2.50 | lr: 0.0001 | loss: 0.019 | time: 0:11:11.3 | step: 1610
epoch: 269 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.002 | time: 0:11:15.3 | step: 1620
epoch: 271 |   3/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.021 | time: 0:11:19.7 | step: 1630
epoch: 273 |   1/  6 | logs/44k/diffusion | batch/s: 2.43 | lr: 0.0001 | loss: 0.015 | time: 0:11:23.8 | step: 1640
epoch: 274 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.036 | time: 0:11:27.8 | step: 1650
epoch: 276 |   3/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.025 | time: 0:11:32.3 | step: 1660
epoch: 278 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.021 | time: 0:11:36.4 | step: 1670
epoch: 279 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.001 | time: 0:11:40.3 | step: 1680
